Cable Number,Length,Type,Parameter,CMD (Normal),CMD (2-5),D0 (Normal),D0 (2-5),D1 (Normal),D1 (2-5)
126,35,2,S11,248,262,141,142,137,142
126,35,2,S12,105,107,146,148,145,147
126,35,2,S21,105,107,146,148,145,148
126,35,2,S11,248,262,141,142,137,142
126,35,2,S12,105,107,146,148,145,147
126,35,2,S21,105,107,146,148,145,148
126,35,2,S11,112,119,112,119,114,121,
126,35,2,S12,116,120,119,123,122,125,
126,35,2,S21,117,120,120,123,122,125,
185,35,2,S11,125,131,123,129,131,138,
185,35,2,S12,147,141,148,138,153,145,
185,35,2,S21,147,141,148,138,154,146,
186,35,2,S11,124,131,123,127,130,135,
186,35,2,S12,145,140,148,139,155,151,
186,35,2,S21,145,140,148,139,155,151,
187,80,2,S11,147,147,145,145,150,149,
187,80,2,S12,137,134,135,135,140,138,
187,80,2,S21,137,134,136,135,140,138,
188,80,2,S11,149,151,143,143,150,149,
188,80,2,S12,138,138,133,133,141,142,
188,80,2,S21,138,139,133,134,141,142,
189,80,2,S11,144,143,141,140,150,150,
189,80,2,S12,134,132,130,126,136,135,
189,80,2,S21,135,132,130,126,137,135,
190,80,2,S11,157,155,154,155,166,169,
190,80,2,S12,135,135,138,139,142,145,
190,80,2,S21,135,136,138,140,142,145,
191,100,2,S11,140,136,137,132,139,133,
191,100,2,S12,156,153,154,150,153,151,
191,100,2,S21,156,153,154,150,153,151,
192,100,2,S11,172,171,139,137,130,126,
192,100,2,S12,128,125,149,144,146,142,
192,100,2,S21,128,125,149,144,147,142,
193,100,2,S11,139,136,138,134,140,136,
193,100,2,S12,155,152,157,155,156,153,
193,100,2,S21,155,152,158,155,156,153,
194,100,2,S11,130,124,127,119,129,124,
194,100,2,S12,145,138,142,135,144,139,
194,100,2,S21,145,138,142,136,144,139,
195,160,2,S11,138,122,136,121,140,125,
195,160,2,S12,142,131,145,134,147,136,
195,160,2,S21,142,131,146,134,147,136,
196,160,2,S11,140,128,140,127,139,125,
196,160,2,S12,150,141,149,138,147,136,
196,160,2,S21,150,141,149,138,148,136,
197,160,2,S11,143,128,140,124,144,128,
197,160,2,S12,147,139,149,140,147,137,
197,160,2,S21,147,139,150,141,148,137,
198,160,2,S11,140,123,142,128,141,126,
198,160,2,S12,143,133,142,133,147,139,
198,160,2,S21,143,133,142,133,147,139,
200,200,2,S11,141,125,138,117,140,124,
200,200,2,S12,140,130,140,128,141,128,
200,200,2,S21,140,130,140,128,141,128,
201,200,2,S11,147,139,148,139,148,139,
201,200,2,S12,152,149,150,147,150,148,
201,200,2,S21,152,149,150,148,151,148,
202,200,2,S11,150,143,147,139,148,140,
202,200,2,S12,149,149,149,145,151,147,
202,200,2,S21,149,149,149,145,151,147,
